id,features
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5346440076828003, 0.775251030921936, 0.14372354745864868, 0.7577729225158691, 1.0431171655654907, 0.19794805347919464, 0.4233635365962982, 0.9285323023796082, 0.22338107228279114, 0.044351931661367416, 0.04247331991791725, 0.0, 0.0, 0.4997886121273041, 1.1106663942337036]"
10,"[0.007898109033703804, 0.2667754292488098, 0.2713445723056793, 0.25608766078948975, 0.10090452432632446, 0.7683058381080627, 0.0, 0.8244388699531555, 0.7257733941078186, 0.1297428011894226, 0.29399022459983826, 0.4962861239910126, 1.1910500526428223, 0.0, 0.017193524166941643, 0.05784640833735466, 0.3449059724807739, 0.5065323710441589, 0.4784389138221741, 0.6890967488288879]"
20,"[0.39183279871940613, 0.23938477039337158, 0.24546431005001068, 0.7481964826583862, 0.17085100710391998, 0.7466394901275635, 0.881500244140625, 0.0, 0.0, 0.42173704504966736, 0.9377010464668274, 0.10898076742887497, 0.0, 0.0, 0.15304961800575256, 0.5682111978530884, 0.8998934030532837, 0.5113048553466797, 0.31404128670692444, 0.10011613368988037]"
30,"[0.23891499638557434, 0.3106940686702728, 0.25734639167785645, 1.452048659324646, 0.1505771279335022, 0.22718167304992676, 0.21162019670009613, 0.19218292832374573, 1.1615957021713257, 0.25994154810905457, 0.0, 0.0, 0.6707400679588318, 0.0, 0.06706050783395767, 0.2982429265975952, 0.05088395997881889, 0.05942012369632721, 0.12255261838436127, 0.3134448528289795]"
40,"[1.6232714653015137, 0.4266090393066406, 0.1621713787317276, 0.04942503198981285, 0.0, 0.4086218774318695, 0.0, 0.6518052220344543, 0.0, 0.5370534658432007, 0.5855662226676941, 0.373242050409317, 0.09774108231067657, 0.0, 0.42256224155426025, 0.7002717852592468, 0.2584819495677948, 0.4848856031894684, 0.2875927686691284, 0.2603771984577179]"
50,"[0.36765605211257935, 0.05523630604147911, 0.05385939031839371, 0.3986370265483856, 0.3934033215045929, 1.0742478370666504, 0.015108408406376839, 0.0, 0.08918523043394089, 0.0, 0.3788425028324127, 0.15078842639923096, 0.2015058398246765, 0.36952269077301025, 0.02012249082326889, 0.0, 0.04189068078994751, 0.21921677887439728, 0.0, 1.6679260730743408]"
60,"[0.9188185930252075, 0.0, 0.5620799660682678, 0.0, 0.039461225271224976, 0.09464333206415176, 0.4095773994922638, 0.640307605266571, 0.4639608561992645, 0.0, 0.8769366145133972, 0.012859435752034187, 0.0, 0.3727775812149048, 0.491605281829834, 0.610483705997467, 0.17590907216072083, 1.1625226736068726, 0.16127252578735352, 0.3836405277252197]"
70,"[1.1329915523529053, 0.0, 0.0, 0.0, 0.31330960988998413, 0.0, 0.0, 0.16192951798439026, 0.0, 0.0, 0.6175702214241028, 0.0, 0.15198834240436554, 0.8047291040420532, 1.0312227010726929, 0.47001898288726807, 0.9681749939918518, 0.2490324079990387, 0.34392958879470825, 0.4672635793685913]"
80,"[0.6611324548721313, 0.3160519301891327, 0.16024035215377808, 0.66583251953125, 0.3014039099216461, 0.021366402506828308, 0.0, 0.8408960103988647, 0.8813745975494385, 0.0, 0.29582422971725464, 0.22342458367347717, 0.7210505604743958, 0.9574838876724243, 0.5831844210624695, 0.25925394892692566, 0.0, 0.0, 0.0, 0.4566245377063751]"
90,"[0.07938089221715927, 0.1230664923787117, 1.385086178779602, 0.31686821579933167, 0.7419861555099487, 0.0, 0.3654928505420685, 0.22123479843139648, 0.7449354529380798, 0.6343062520027161, 0.7049262523651123, 0.04606764391064644, 0.017383109778165817, 0.2639460861682892, 0.024430349469184875, 0.0, 0.13124427199363708, 0.0, 0.6012982130050659, 0.0]"
100,"[0.0, 0.7486329674720764, 0.15470768511295319, 0.9792481064796448, 0.28024759888648987, 0.0, 0.18917517364025116, 0.0, 0.20020581781864166, 0.43872666358947754, 0.8741057515144348, 0.39904358983039856, 0.7065225839614868, 0.12488474696874619, 0.8213021159172058, 0.43108829855918884, 0.0, 0.5364639759063721, 0.07249175012111664, 0.0]"
110,"[0.0, 0.4448986053466797, 0.14309161901474, 0.1441914290189743, 0.23553326725959778, 0.049912888556718826, 0.3318915069103241, 0.8069388270378113, 0.1713191419839859, 0.30984777212142944, 0.9126597046852112, 0.3230333924293518, 1.305861234664917, 0.013644388876855373, 0.3612305819988251, 0.34964704513549805, 0.12236791104078293, 0.0, 0.4596937298774719, 0.9578914046287537]"
120,"[0.007178909610956907, 0.0, 1.0230300426483154, 0.0, 0.0, 0.8614295721054077, 0.21328487992286682, 0.5456616878509521, 0.038697823882102966, 0.05412138253450394, 0.07825613021850586, 0.2675713002681732, 1.5378739833831787, 0.2936336398124695, 0.12113767117261887, 0.03236611187458038, 0.09875310212373734, 0.15396566689014435, 0.23310133814811707, 0.0]"
