id,features
0,"[0.0, 1.0297714471817017, 0.8334526419639587, 0.8151769638061523, 0.0, 0.23535139858722687, 0.0, 0.0, 0.0, 0.09736037999391556, 0.520584762096405, 0.19303812086582184, 0.009588484652340412, 0.21854498982429504, 0.023292439058423042, 0.9434857368469238, 0.7916654944419861, 0.15191002190113068, 0.08173125237226486, 0.2963578402996063]"
10,"[0.1711469292640686, 0.43856093287467957, 1.1094074249267578, 0.0, 0.0, 0.4237048029899597, 0.6141918301582336, 0.15909351408481598, 0.2651834189891815, 0.4201730787754059, 0.00320270168595016, 0.6051605939865112, 0.7247610688209534, 0.0, 0.6270720362663269, 1.1445438861846924, 0.0, 0.12868434190750122, 0.0, 0.1044246032834053]"
20,"[0.0, 0.3811558485031128, 1.0594385862350464, 0.02967754751443863, 0.2884894907474518, 0.07163367420434952, 0.036415889859199524, 0.5740368366241455, 0.7835991978645325, 0.12606969475746155, 0.7375404834747314, 0.0, 0.25266867876052856, 0.8903330564498901, 0.2374037653207779, 0.009183796122670174, 0.4847053289413452, 0.1487279236316681, 0.36368876695632935, 0.045328278094530106]"
30,"[0.0, 0.19005087018013, 0.5600879192352295, 1.0273818969726562, 0.07805144041776657, 0.844336748123169, 0.0, 0.002761917421594262, 0.38619768619537354, 0.30093276500701904, 0.3346439301967621, 0.0, 0.0, 0.0, 0.0, 0.0, 1.208333969116211, 0.4296300709247589, 0.758999228477478, 0.5169028639793396]"
40,"[1.195530891418457, 0.18064874410629272, 0.8017270565032959, 0.26009470224380493, 0.0, 0.031229529529809952, 0.0, 0.40644752979278564, 0.06014162302017212, 0.0, 0.8316279053688049, 0.3350343704223633, 0.0, 0.0, 0.16657239198684692, 0.8932782411575317, 0.5608214735984802, 0.28877899050712585, 0.17586533725261688, 0.035182543098926544]"
50,"[0.9525101780891418, 0.11025699973106384, 0.04224415495991707, 0.03783849999308586, 0.020596925169229507, 1.2249785661697388, 0.46640095114707947, 0.41123709082603455, 0.28174397349357605, 0.0, 0.06600791960954666, 0.8132942914962769, 0.2146231234073639, 0.3775137960910797, 0.4546820819377899, 0.6559925079345703, 0.36725738644599915, 0.08855162560939789, 0.28665152192115784, 0.0]"
60,"[0.0, 0.9702798128128052, 0.10558293014764786, 0.28325581550598145, 0.7479731440544128, 0.5076059699058533, 0.6865196824073792, 0.33371707797050476, 0.06985883414745331, 1.2567716836929321, 0.039937298744916916, 0.4709627628326416, 0.6212321519851685, 0.010150505229830742, 0.350848913192749, 0.0, 0.5215266346931458, 0.5262465476989746, 0.18089988827705383, 0.0]"
70,"[0.7057830691337585, 0.0, 0.4167667329311371, 0.3281996548175812, 0.0, 0.0, 0.21120667457580566, 0.10648338496685028, 1.2215399742126465, 0.3514712452888489, 0.6102586388587952, 0.08580247312784195, 0.5387542843818665, 0.0, 0.8341569304466248, 0.9258952140808105, 0.4802733063697815, 0.0, 0.5746672749519348, 0.0]"
80,"[0.09460750967264175, 0.12814116477966309, 0.5563698410987854, 1.2100262641906738, 0.10020925849676132, 0.0, 0.047637518495321274, 0.41957685351371765, 0.5378594994544983, 0.23489055037498474, 0.23836348950862885, 0.0, 0.1897595375776291, 0.867448627948761, 0.29024389386177063, 0.6254048943519592, 0.2813957929611206, 0.10430785268545151, 0.5563299655914307, 0.4574274718761444]"
90,"[0.28729185461997986, 0.003274188144132495, 0.12312062829732895, 0.5259597897529602, 0.6341002583503723, 0.2342192530632019, 0.745514452457428, 0.694280207157135, 0.1902756243944168, 0.42262041568756104, 0.8509889841079712, 0.8797468543052673, 0.0, 0.16095000505447388, 0.0, 0.09128176420927048, 0.8084630966186523, 0.24818798899650574, 0.747150719165802, 0.0]"
100,"[0.0, 0.3697601854801178, 0.48400187492370605, 0.6455965042114258, 0.1474141776561737, 0.23290005326271057, 0.06807608157396317, 0.6941145658493042, 1.1711336374282837, 0.433165043592453, 0.5011572241783142, 0.09755253791809082, 0.32007527351379395, 0.0034896719735115767, 0.42179253697395325, 0.25325146317481995, 0.7835813760757446, 0.5028547644615173, 0.4957331717014313, 0.0]"
110,"[0.0, 0.9673131704330444, 0.21259605884552002, 0.14002923667430878, 0.1151258647441864, 0.3079044818878174, 0.47093188762664795, 0.0, 0.49734243750572205, 0.6096982955932617, 1.0240663290023804, 0.24673128128051758, 1.0184223651885986, 0.89300137758255, 0.9063172340393066, 0.0, 0.3527076840400696, 0.6319817304611206, 0.3351379632949829, 0.12248579412698746]"
120,"[0.23310577869415283, 0.0, 0.06590118259191513, 0.087193064391613, 0.5260204672813416, 0.0, 0.0, 0.0, 0.0, 0.9935889840126038, 0.3734455704689026, 0.45087721943855286, 0.5706601738929749, 1.2503265142440796, 0.011861206963658333, 0.17669062316417694, 0.8042848706245422, 0.71919184923172, 0.7626089453697205, 0.45279887318611145]"
130,"[0.6441411375999451, 0.7714799046516418, 0.4748067855834961, 0.1825123131275177, 0.06558237969875336, 0.3391646444797516, 0.16128982603549957, 0.0, 0.17693309485912323, 1.078368902206421, 0.12989681959152222, 0.29569798707962036, 0.10350299626588821, 0.4897456467151642, 0.0, 0.5740976929664612, 0.011766361072659492, 0.06490509957075119, 0.0, 1.1948298215866089]"
140,"[0.0, 0.20305611193180084, 0.0197613462805748, 0.45140624046325684, 0.8182324171066284, 0.889899730682373, 0.1681472808122635, 0.22550979256629944, 0.41752633452415466, 0.02450493536889553, 0.3054836690425873, 0.20506738126277924, 0.33927151560783386, 0.8346730470657349, 0.7233691811561584, 1.133165717124939, 0.03636946529150009, 0.3788969814777374, 0.9227208495140076, 0.6760690808296204]"
150,"[0.0, 0.14960096776485443, 0.637073278427124, 0.8642425537109375, 0.46189871430397034, 0.3024246096611023, 0.3209400773048401, 0.3470223844051361, 0.10723166167736053, 0.552925169467926, 0.7567415833473206, 1.2735378742218018, 0.24667774140834808, 0.0, 0.6963105797767639, 0.5925276875495911, 0.13841304183006287, 0.0, 0.0, 0.26928985118865967]"
160,"[0.0, 0.08914932608604431, 1.1873310804367065, 0.7951069474220276, 0.6990168690681458, 0.0, 0.3243066668510437, 0.35824182629585266, 0.05575120449066162, 0.4996725022792816, 0.8082113265991211, 0.25143131613731384, 0.011623923666775227, 0.2686883807182312, 0.3255254626274109, 0.5143789649009705, 0.694005012512207, 0.23745742440223694, 0.0, 0.11366292089223862]"
170,"[0.0, 0.33933383226394653, 0.03245959058403969, 0.7740182280540466, 0.6103633642196655, 0.009046582505106926, 0.5875283479690552, 0.0, 0.11816535890102386, 0.0, 0.2176692634820938, 0.43452340364456177, 0.006542464718222618, 0.3524363934993744, 0.8470115065574646, 0.4090549647808075, 0.0, 1.1182781457901, 0.0, 0.6916741728782654]"
180,"[0.22924746572971344, 0.0, 0.06323501467704773, 1.0505260229110718, 0.06968171894550323, 0.39969488978385925, 0.0, 0.0, 0.0, 0.4771811068058014, 0.15705186128616333, 0.5714828968048096, 0.03292640671133995, 0.18372906744480133, 0.0, 0.0, 1.0067530870437622, 0.0, 0.24097806215286255, 0.7068192362785339]"
190,"[0.37661153078079224, 0.23881228268146515, 1.2140734195709229, 0.20267654955387115, 0.4256870448589325, 0.49471020698547363, 0.0, 0.14117076992988586, 1.169338583946228, 0.9690384864807129, 0.18426397442817688, 0.2981495261192322, 0.0, 0.10640943795442581, 0.5412072539329529, 0.3276773691177368, 0.0, 0.0, 0.3540876805782318, 0.398765504360199]"
200,"[0.4489355683326721, 0.0918353945016861, 0.9917364120483398, 0.0, 0.0, 0.3775120973587036, 0.33778244256973267, 0.2954587936401367, 0.08500835299491882, 0.0, 0.0, 0.0, 0.8153722286224365, 0.0, 0.4052809476852417, 0.0, 0.33812031149864197, 0.718858540058136, 0.8761302828788757, 0.77128666639328]"
210,"[0.477776437997818, 0.07776393741369247, 0.38717928528785706, 0.28215762972831726, 0.3616395592689514, 0.0, 0.06577988713979721, 0.7313503623008728, 0.09523753821849823, 0.28080642223358154, 0.3719940781593323, 0.9568540453910828, 0.8463356494903564, 0.1835816502571106, 0.0, 0.41532811522483826, 0.8226994276046753, 1.3203057050704956, 0.3347563147544861, 0.4583771228790283]"
220,"[0.29280292987823486, 0.37758868932724, 0.5851470232009888, 0.07445526123046875, 0.20638875663280487, 0.0, 0.0, 1.002859115600586, 0.5206084251403809, 1.299971103668213, 0.07754718512296677, 0.29476794600486755, 0.0, 0.06490856409072876, 0.37250521779060364, 0.8622673153877258, 0.1761796474456787, 0.0, 0.8068640232086182, 0.017315112054347992]"
230,"[0.26328444480895996, 0.8095006942749023, 0.6419202089309692, 1.0694928169250488, 0.0, 0.06836142390966415, 0.23476780951023102, 0.39290156960487366, 0.6126030087471008, 0.49278685450553894, 0.0, 0.0, 0.19586847722530365, 0.7573356628417969, 0.30113816261291504, 0.6041778922080994, 0.0, 0.5207354426383972, 0.354312539100647, 0.0]"
240,"[1.0327948331832886, 0.0, 0.6850663423538208, 0.6877613663673401, 0.9919257760047913, 0.8010305166244507, 0.27252328395843506, 0.0, 0.27869993448257446, 0.17839141190052032, 0.021020781248807907, 0.41517195105552673, 0.35714593529701233, 1.0870496034622192, 0.0, 0.01156223937869072, 0.0, 0.20083625614643097, 0.5118051171302795, 0.027425991371273994]"
250,"[0.15858757495880127, 0.4027377963066101, 0.5092748403549194, 0.14927931129932404, 0.7534414529800415, 0.4828985035419464, 0.07195880264043808, 1.1528000831604004, 0.0, 0.8152341246604919, 0.021905897185206413, 0.15886802971363068, 0.6628031730651855, 0.4480805993080139, 0.4021110236644745, 0.5022529363632202, 0.0, 0.6049306988716125, 0.33167532086372375, 0.6433332562446594]"
260,"[0.4175730049610138, 0.0, 0.0, 0.8083763718605042, 0.40068748593330383, 0.33569300174713135, 0.6881643533706665, 0.2913632392883301, 0.0, 0.1120653823018074, 0.5089777708053589, 0.42757827043533325, 0.2408912628889084, 0.08440859615802765, 0.0, 0.0, 0.8878191113471985, 0.017635487020015717, 1.0393532514572144, 0.7022989988327026]"
270,"[0.0, 0.6809866428375244, 1.1805353164672852, 0.1025206595659256, 0.19838090240955353, 0.7207593321800232, 0.7560683488845825, 0.0, 0.0, 0.565971851348877, 1.0091122388839722, 0.2468610405921936, 0.10281530767679214, 0.5278298854827881, 0.0, 0.0, 0.5981414914131165, 0.4219922721385956, 0.5032608509063721, 0.6171748042106628]"
280,"[0.2342383861541748, 0.15780246257781982, 0.5849475860595703, 1.1921801567077637, 0.9252731800079346, 0.28529733419418335, 0.09385379403829575, 0.0, 0.16905862092971802, 0.0, 0.0, 0.8515521287918091, 0.7912637591362, 0.29427433013916016, 0.07476609200239182, 0.020274648442864418, 0.11868084222078323, 0.0, 0.07948612421751022, 0.10919681191444397]"
290,"[0.0, 0.4920799732208252, 0.0, 0.1135990172624588, 0.0, 0.0689588114619255, 0.938686728477478, 0.5847199559211731, 0.33148929476737976, 0.0, 0.005649774335324764, 0.2853216528892517, 0.0, 0.9030798673629761, 0.6709854602813721, 1.207641839981079, 0.0, 0.0, 0.5984254479408264, 0.6934655904769897]"
300,"[0.2517436742782593, 0.12805373966693878, 0.5536879897117615, 0.5358679294586182, 0.78691166639328, 0.0, 0.6288070678710938, 0.5674415230751038, 0.2818732261657715, 0.1580970585346222, 0.4921562075614929, 0.49521487951278687, 0.674981415271759, 0.19033673405647278, 0.536644458770752, 0.0, 0.0, 0.10730788111686707, 0.9765241742134094, 0.6596031188964844]"
310,"[0.8156797289848328, 0.0, 0.5510969161987305, 0.5224841833114624, 1.0467628240585327, 0.011935391463339329, 0.5898750424385071, 0.6177635788917542, 0.0, 0.2617269456386566, 0.0, 0.47493278980255127, 0.0, 1.1464165449142456, 0.0, 0.0, 0.0, 0.5019851922988892, 0.7114713191986084, 0.3064005672931671]"
320,"[0.47523269057273865, 0.3632911145687103, 0.159869983792305, 1.0308202505111694, 0.31111955642700195, 0.0, 0.2715384364128113, 0.10622675716876984, 0.6456089019775391, 0.13315613567829132, 0.0, 0.5171904563903809, 0.02493944577872753, 0.418353796005249, 0.16204357147216797, 0.0, 0.0026343429926782846, 0.7442271113395691, 1.0027787685394287, 1.077584981918335]"
330,"[0.2962573170661926, 0.5948266386985779, 0.743405818939209, 0.019384874030947685, 0.13931214809417725, 0.320358008146286, 0.6667097806930542, 0.5299263596534729, 0.21736645698547363, 0.0, 0.0, 0.0, 0.4828721582889557, 0.0, 0.9585026502609253, 1.121151089668274, 0.997748076915741, 0.23315659165382385, 0.4369417428970337, 0.21338582038879395]"
340,"[0.0, 0.5361047983169556, 0.07355224341154099, 0.0, 0.1375345140695572, 0.09043435007333755, 0.0, 0.5002679228782654, 0.520324170589447, 0.1368057131767273, 0.0008623596513643861, 0.4944489300251007, 1.0200523138046265, 0.05735068768262863, 0.015213580802083015, 0.0, 1.2364565134048462, 0.2545784115791321, 0.4846612513065338, 1.1598894596099854]"
350,"[0.5453854203224182, 0.374560683965683, 0.23523399233818054, 0.502483606338501, 0.8121381402015686, 0.0, 0.7926516532897949, 0.9868366122245789, 0.17139224708080292, 0.0, 0.0, 0.3980696201324463, 0.6451570391654968, 0.0, 1.0481295585632324, 0.0, 0.31162700057029724, 0.0, 0.15118610858917236, 0.3116876184940338]"
360,"[0.02676989696919918, 1.2412301301956177, 0.0, 0.8711421489715576, 0.6522591710090637, 0.9577482342720032, 0.20326803624629974, 0.8161967396736145, 0.5366019010543823, 0.8166361451148987, 0.45213085412979126, 0.0, 0.0, 0.26848578453063965, 0.0, 0.6898153424263, 0.08248423784971237, 0.2893824279308319, 0.17494356632232666, 0.0]"
370,"[0.2547740042209625, 0.1917787790298462, 0.5756816864013672, 0.4371543228626251, 0.43722760677337646, 0.3404746949672699, 0.6921403408050537, 0.0, 0.5760763883590698, 0.0, 0.7344530820846558, 0.481326162815094, 0.0, 0.0, 0.0, 0.01866471767425537, 0.8584300875663757, 1.1928362846374512, 0.0, 1.0399105548858643]"
380,"[0.21538594365119934, 0.43119966983795166, 0.42836230993270874, 0.265960156917572, 0.30576905608177185, 0.37097907066345215, 0.7102268934249878, 0.011656327173113823, 0.28483501076698303, 0.5760391354560852, 0.27757906913757324, 1.176405668258667, 0.07222649455070496, 1.160178542137146, 0.2988867461681366, 0.0, 0.48635709285736084, 0.4328143298625946, 0.027615882456302643, 0.613475501537323]"
390,"[0.0006030362565070391, 0.34883108735084534, 0.3247092664241791, 0.35662955045700073, 0.26172539591789246, 1.007830023765564, 0.9115437269210815, 0.09289783984422684, 0.0, 0.660484790802002, 0.3648046553134918, 0.0, 0.10055755078792572, 0.7233639359474182, 0.6170521974563599, 0.0, 0.4464411437511444, 0.47288259863853455, 0.16319537162780762, 0.0]"
400,"[0.8852821588516235, 0.13012944161891937, 0.3882749080657959, 0.0, 0.5420852303504944, 0.6243883371353149, 0.8288973569869995, 0.509257435798645, 0.006846461445093155, 0.0, 0.1234382763504982, 0.5073350071907043, 0.0, 1.1893367767333984, 0.0, 0.0, 0.585014283657074, 0.0, 0.9435487985610962, 0.40259850025177]"
410,"[0.5885520577430725, 0.0, 0.9207977652549744, 0.8245826959609985, 0.6425126194953918, 0.011262843385338783, 0.07187552005052567, 0.20671631395816803, 0.0, 0.8030881285667419, 0.22922936081886292, 0.4424903690814972, 0.0, 1.2890207767486572, 0.31535807251930237, 0.0, 0.6455132365226746, 0.0, 0.7802324891090393, 0.0]"
420,"[0.1736060231924057, 0.22972802817821503, 0.15333056449890137, 0.281478613615036, 0.8719269633293152, 0.21247421205043793, 0.9457353949546814, 0.6581920981407166, 0.661641538143158, 0.5143510699272156, 0.8015506267547607, 0.03317040205001831, 0.06432531774044037, 0.3652423024177551, 0.1515052616596222, 0.41578811407089233, 0.1681002825498581, 0.05953468754887581, 0.1190851628780365, 0.0]"
430,"[0.5110716819763184, 0.0, 0.0, 0.5880251526832581, 0.0877048596739769, 0.0, 0.9000244140625, 0.0, 0.13784828782081604, 0.0, 0.5882730484008789, 0.0, 0.21335524320602417, 0.2361554354429245, 0.2299416959285736, 0.27636292576789856, 0.16543897986412048, 0.8707157373428345, 0.6476165056228638, 0.48618006706237793]"
440,"[0.455168217420578, 0.6096507906913757, 0.6682899594306946, 0.5296294689178467, 0.4528089463710785, 0.6619613170623779, 0.47544604539871216, 0.5604081749916077, 0.2159215807914734, 1.0016522407531738, 0.0, 0.0, 0.0, 0.2456350326538086, 0.5459008812904358, 0.6903866529464722, 0.5668699145317078, 0.28214243054389954, 0.46511879563331604, 0.6873930096626282]"
450,"[0.0, 0.16863752901554108, 0.599327564239502, 0.44554704427719116, 0.0, 0.0, 0.3315318822860718, 0.0, 0.19309157133102417, 0.459155410528183, 0.6106595993041992, 0.0, 1.0006403923034668, 0.0, 0.39934027194976807, 0.0, 0.0, 0.4513169229030609, 0.0, 1.1793346405029297]"
460,"[1.1803913116455078, 0.09987995773553848, 0.6971645355224609, 0.11767733097076416, 0.3397060036659241, 0.0, 0.2073143571615219, 0.0, 0.15174026787281036, 0.5848056674003601, 0.0, 0.3503747880458832, 0.7101739645004272, 0.5598260760307312, 0.0, 0.38464123010635376, 0.8251262307167053, 0.0, 0.5005010366439819, 0.25933876633644104]"
