user_id,preferred_subject,preferred_level
U1,Musical Instruments,Beginner Level
U2,Graphic Design,All Levels
U3,Business Finance,Intermediate Level
U4,Business Finance,Intermediate Level
U5,Musical Instruments,All Levels
U6,Graphic Design,Intermediate Level
U7,Business Finance,Expert Level
U8,Musical Instruments,Intermediate Level
U9,Web Development,Intermediate Level
U10,Web Development,Expert Level
U11,Musical Instruments,Expert Level
U12,Web Development,Beginner Level
U13,Business Finance,Intermediate Level
U14,Musical Instruments,All Levels
U15,Business Finance,Intermediate Level
U16,Web Development,All Levels
U17,Musical Instruments,All Levels
U18,Graphic Design,Expert Level
U19,Musical Instruments,Expert Level
U20,Web Development,Expert Level
U21,Graphic Design,Expert Level
U22,Web Development,Expert Level
U23,Graphic Design,Expert Level
U24,Web Development,All Levels
U25,Musical Instruments,Intermediate Level
U26,Musical Instruments,Expert Level
U27,Graphic Design,Expert Level
U28,Musical Instruments,Expert Level
U29,Musical Instruments,All Levels
U30,Web Development,Beginner Level
U31,Musical Instruments,Expert Level
U32,Web Development,Intermediate Level
U33,Graphic Design,Beginner Level
U34,Web Development,Intermediate Level
U35,Musical Instruments,Intermediate Level
U36,Graphic Design,All Levels
U37,Business Finance,Expert Level
U38,Graphic Design,Expert Level
U39,Web Development,All Levels
U40,Graphic Design,All Levels
U41,Musical Instruments,Beginner Level
U42,Business Finance,All Levels
U43,Graphic Design,Intermediate Level
U44,Web Development,Beginner Level
U45,Musical Instruments,Beginner Level
U46,Business Finance,All Levels
U47,Musical Instruments,All Levels
U48,Graphic Design,Beginner Level
U49,Business Finance,Beginner Level
U50,Business Finance,Expert Level
U51,Business Finance,Beginner Level
U52,Web Development,Beginner Level
U53,Web Development,Intermediate Level
U54,Web Development,Intermediate Level
U55,Musical Instruments,Expert Level
U56,Musical Instruments,Expert Level
U57,Graphic Design,Beginner Level
U58,Web Development,Intermediate Level
U59,Web Development,Expert Level
U60,Graphic Design,Beginner Level
U61,Graphic Design,Intermediate Level
U62,Musical Instruments,Beginner Level
U63,Business Finance,All Levels
U64,Graphic Design,All Levels
U65,Graphic Design,All Levels
U66,Musical Instruments,Beginner Level
U67,Graphic Design,Beginner Level
U68,Musical Instruments,Beginner Level
U69,Business Finance,Beginner Level
U70,Graphic Design,All Levels
U71,Musical Instruments,All Levels
U72,Musical Instruments,All Levels
U73,Musical Instruments,All Levels
U74,Musical Instruments,Expert Level
U75,Web Development,Beginner Level
U76,Musical Instruments,All Levels
U77,Graphic Design,Intermediate Level
U78,Web Development,All Levels
U79,Web Development,Intermediate Level
U80,Business Finance,Expert Level
U81,Musical Instruments,Expert Level
U82,Musical Instruments,Beginner Level
U83,Graphic Design,Intermediate Level
U84,Musical Instruments,All Levels
U85,Business Finance,All Levels
U86,Graphic Design,Beginner Level
U87,Graphic Design,Expert Level
U88,Graphic Design,All Levels
U89,Musical Instruments,Intermediate Level
U90,Graphic Design,All Levels
U91,Musical Instruments,Beginner Level
U92,Business Finance,Beginner Level
U93,Musical Instruments,All Levels
U94,Graphic Design,Intermediate Level
U95,Business Finance,All Levels
U96,Graphic Design,All Levels
U97,Web Development,Intermediate Level
